,fw_names,species,metabolic_type,bodymass,abundance,biomass
1,S8B,Acentronichthys_leptos,ectotherm vertebrate,309.0909,0.0468,14.46545412
2,S8B,Argia,ectotherm invertebrate,4.0204,2.2222,8.93413288
3,S8B,Baetidae,ectotherm invertebrate,0.023,1.1111,0.0255553
4,S8B,Biofilm,detritus,NA,,NA
5,S8B,Blepharopus,ectotherm invertebrate,0.9448,8.8889,8.39823272
6,S8B,Ceratopogonidae,ectotherm invertebrate,0.0057,1.1111,0.00633327
7,S8B,Chimarra,ectotherm invertebrate,0.3642,20,7.284
8,S8B,Chironomidae,ectotherm invertebrate,0.0112,33.3333,0.37333296
9,S8B,Corixidae,ectotherm invertebrate,2.8327,2.2222,6.29482594
10,S8B,Gomphidae,ectotherm invertebrate,0.631,1.1111,0.7011041
11,S8B,Gripopteryx,ectotherm invertebrate,0.2496,45.5556,11.37067776
12,S8B,Gymnotus_pantherinus,ectotherm vertebrate,3250,0.0085,27.625
13,S8B,Heteragrion,ectotherm invertebrate,1.5125,3.3333,5.04161625
14,S8B,Heterelmis,ectotherm invertebrate,0.4968,1.1111,0.55199448
15,S8B,Hollandichthys_multifasciatus,ectotherm vertebrate,1827.7778,0.0766,140.0077795
16,S8B,Hydrobiosidae,ectotherm invertebrate,6.5774,2.2222,14.61629828
17,S8B,leaf,detritus,NA,,NA
18,S8B,Leptoceridae,ectotherm invertebrate,0.3545,1.1111,0.39388495
19,S8B,Macrobrachium,ectotherm invertebrate,106.6638,2.3077,246.1480513
20,S8B,moss,plant,NA,,NA
21,S8B,Neoelmis,ectotherm invertebrate,0.4968,1.1111,0.55199448
22,S8B,Oligochaeta_spA,ectotherm invertebrate,1.9858,6.6667,13.23873286
23,S8B,Psephenus,ectotherm invertebrate,2.1163,5.5556,11.75731628
24,S8B,Rhamdia_quelen,ectotherm vertebrate,15612.5,0.0085,132.70625
25,S8B,Simuliidae,ectotherm invertebrate,0.2145,27.7778,5.9583381
26,S8B,Smicridea,ectotherm invertebrate,0.7581,5.5556,4.21170036
27,S8B,terrestrial_ectotherm_invertebrate,detritus,NA,,NA
28,S8B,Tipulidae,ectotherm invertebrate,0.7441,3.3333,2.48030853
